^SPX (Standard & Poors 500 Index),2878.99,-16.78
Apr 09 2019 @ 11:09 ET,Bid,2878.64,Ask,2879.5,Size,1x1,Vol,
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
04/10/2019,SPXW190410C02840000,42.5,-10.85,38.5,40.3,70,0.1428,0.9497,0.0043,505,2840.000,SPXW190410P02840000,0.6,0.375,0.55,0.7,1732,0.1494,-0.0581,0.0046,1820
04/10/2019,SPXW190410C02845000,36.24,-12.16,33.9,35.4,13,0.1399,0.9279,0.0059,158,2845.000,SPXW190410P02845000,0.85,0.575,0.8,0.9,2197,0.144,-0.0779,0.006,1040
04/10/2019,SPXW190410C02850000,30,-13.6,29.3,30.7,92,0.1366,0.8987,0.0077,2304,2850.000,SPXW190410P02850000,1.2,0.775,1.15,1.25,2234,0.1399,-0.1065,0.0079,2709
04/10/2019,SPXW190410C02855000,25.45,-13.25,24.8,26.2,24,0.1334,0.8596,0.01,289,2855.000,SPXW190410P02855000,1.65,1.05,1.6,1.75,1956,0.1353,-0.1437,0.01,1044
04/10/2019,SPXW190410C02860000,21.2,-12.8,20.6,21.8,119,0.1302,0.8089,0.0125,587,2860.000,SPXW190410P02860000,2.35,1.55,2.3,2.45,3850,0.1318,-0.1939,0.0125,1446
04/10/2019,SPXW190410C02865000,17.3,-11.95,17,17.4,73,0.1277,0.7439,0.0151,637,2865.000,SPXW190410P02865000,3.4,2.25,3.2,3.5,563,0.1286,-0.2574,0.015,1475
04/10/2019,SPXW190410C02870000,13.5,-11.2,13.3,13.7,304,0.1246,0.6668,0.0174,728,2870.000,SPXW190410P02870000,4.71,3.11,4.5,4.8,1433,0.1254,-0.3341,0.0173,1303
04/10/2019,SPXW190410C02875000,10.4,-10,10,10.4,479,0.1214,0.5775,0.0193,626,2875.000,SPXW190410P02875000,6.7,4.4,6.2,6.5,1258,0.1222,-0.4229,0.0191,1287
04/10/2019,SPXW190410C02880000,7.5,-8.9,7.3,7.6,1046,0.1196,0.4794,0.0199,721,2880.000,SPXW190410P02880000,8.5,5.3,8.4,8.7,1378,0.1197,-0.5205,0.0199,2773
04/10/2019,SPXW190410C02885000,5,-7.7,4.9,5.2,1368,0.1155,0.3775,0.0197,910,2885.000,SPXW190410P02885000,11.36,6.81,11,11.4,1046,0.1163,-0.6216,0.0195,3326
04/10/2019,SPXW190410C02890000,3.1,-6.4,3.2,3.4,1509,0.1135,0.281,0.0177,1121,2890.000,SPXW190410P02890000,15.1,8.75,14.2,14.6,443,0.1136,-0.7189,0.0177,689
04/10/2019,SPXW190410C02895000,1.95,-4.9,1.85,2,1505,0.1094,0.1912,0.0149,1062,2895.000,SPXW190410P02895000,19.3,10.65,17.5,18.7,328,0.1111,-0.8051,0.0148,210
04/10/2019,SPXW190410C02900000,1.15,-3.55,1,1.15,1932,0.1073,0.1215,0.0112,1862,2900.000,SPXW190410P02900000,22.3,10.75,21.7,23.3,149,0.1165,-0.8587,0.0115,413
04/10/2019,SPXW190410C02905000,0.55,-2.65,0.5,0.6,2233,0.1053,0.0705,0.0077,1139,2905.000,SPXW190410P02905000,26.7,11.7,25.9,27.7,133,0.1115,-0.9175,0.0081,134
04/10/2019,SPXW190410C02910000,0.32,-1.68,0.25,0.35,3567,0.1066,0.0418,0.005,1075,2910.000,SPXW190410P02910000,29.5,10.4,30.8,32.5,19,0.1207,-0.9366,0.0061,187
04/10/2019,SPXW190410C02915000,0.17,-1.105,0.15,0.2,1174,0.1097,0.0255,0.0032,942,2915.000,SPXW190410P02915000,31.95,8.8,35.5,37.4,1,0.1238,-0.958,0.0043,8
04/10/2019,SPXW190410C02920000,0.1,-0.65,0.1,0.15,1018,0.1159,0.0178,0.0023,2390,2920.000,SPXW190410P02920000,36.85,9.3,40.3,42.2,1,0.1194,-0.9792,0.0025,14
04/10/2019,SPXW190410C02925000,0.1,-0.3,0.05,0.1,442,0.1191,0.011,0.0015,2362,2925.000,SPXW190410P02925000,0,0,45.2,47.1,0,0.1141,-0.9915,0.0012,1
04/10/2019,SPXW190410C02930000,0.03,-0.17,0,0.05,946,0.1149,0.0043,0.0007,1896,2930.000,SPXW190410P02930000,51.45,14.4,50.4,52.1,1,0.1436,-0.9822,0.0018,2
04/10/2019,SPXW190410C02935000,0.05,-0.05,0,0.05,44,0.1247,0.0039,0.0006,408,2935.000,SPXW190410P02935000,0,0,55.2,57.2,0,0.1474,-0.9876,0.0013,1
04/10/2019,SPXW190410C02940000,0.03,-0.045,0,0.05,44,0.1337,0.0035,0.0005,519,2940.000,SPXW190410P02940000,57.9,10.9,60.3,62,2,0.1463,-0.9931,0.0008,2
04/10/2019,SPXW190410C02945000,0.03,-0.02,0,0.05,2,0.1442,0.0034,0.0004,507,2945.000,SPXW190410P02945000,0,0,65.3,67,0,0.1565,-0.9935,0.0007,0
04/10/2019,SPXW190410C02950000,0.02,-0.005,0,0.05,3,0.1538,0.0032,0.0004,2662,2950.000,SPXW190410P02950000,0,0,70.2,72.2,0,0.181,-0.9896,0.0009,12
04/10/2019,SPXW190410C02955000,0,0,0,0.05,0,0.1631,0.003,0.0003,1355,2955.000,SPXW190410P02955000,0,0,75.2,77.1,0,0.1776,-0.9941,0.0006,0
04/10/2019,SPXW190410C02960000,0,0,0,0.05,0,0.1739,0.003,0.0003,310,2960.000,SPXW190410P02960000,0,0,80.2,82.2,0,0.2028,-0.9905,0.0007,0
04/10/2019,SPXW190410C02965000,0,0,0,0.05,0,0.1819,0.0027,0.0003,265,2965.000,SPXW190410P02965000,0,0,85.2,87.2,0,0.2137,-0.9909,0.0007,0
04/10/2019,SPXW190410C02970000,0,0,0,0.05,0,0.1914,0.0026,0.0003,64,2970.000,SPXW190410P02970000,0,0,90.2,92.1,0,0.2086,-0.9947,0.0004,0
04/10/2019,SPXW190410C02975000,0,0,0,0.05,0,0.2006,0.0025,0.0002,181,2975.000,SPXW190410P02975000,0,0,95.2,97.1,0,0.2185,-0.995,0.0004,1
04/10/2019,SPXW190410C02980000,0.02,-0.005,0,0.05,1,0.2114,0.0025,0.0002,353,2980.000,SPXW190410P02980000,0,0,100.2,102.1,0,0.2286,-0.9951,0.0004,0
